Cve_Ent,Cve_Mun,Value,tmax,tmin
1,1,25,28.48,11.82
1,1,25,29.125,11.45
1,1,25,29.53,12.309999999999999
1,1,25,29.225,13.565
1,2,202,25.69,13.25
1,2,202,26.915,12.84
1,2,202,27.865000000000002,13.855
1,2,202,27.240000000000002,14.425
1,3,54,29.53,8.91
1,3,54,29.9,8.795
1,3,54,30.134999999999998,9.515
1,3,54,30.0,10.725
1,4,906,25.96,13.89
1,4,906,26.625,14.05
1,4,906,27.115000000000002,14.920000000000002
1,4,906,26.555,14.595
1,5,620,28.05,11.33
1,5,620,28.689999999999998,11.09
1,5,620,29.155,11.83
1,5,620,28.715,12.8
1,6,608,27.27,13.59
1,6,608,28.060000000000002,13.29
1,6,608,28.62,13.93
1,6,608,28.09,14.315
1,7,239,25.75,13.77
1,7,239,26.445,13.54
1,7,239,26.97,14.06
1,7,239,26.495,14.010000000000002
1,8,980,25.62,11.29
1,8,980,25.775,11.01
1,8,980,25.83,11.47
1,8,980,25.57,11.81
1,9,978,26.6,14.27
1,9,978,27.44,14.024999999999999
1,9,978,28.075000000000003,14.725
1,9,978,27.445,14.825
1,10,251,26.33,12.55
1,10,251,27.415,12.120000000000001
1,10,251,28.235,13.184999999999999
1,10,251,27.795,13.995000000000001
1,11,83,27.59,13.41
1,11,83,28.41,13.02
1,11,83,28.96,13.715
1,11,83,28.415,14.295
2,1,466,22.14,8.44
2,1,466,19.77,7.55
2,1,466,17.695,7.109999999999999
2,1,466,19.674999999999997,9.055
2,2,604,32.57,15.47
2,2,604,29.064999999999998,13.025
2,2,604,25.63,12.11
2,2,604,27.525,15.055
2,3,772,20.17,4.28
2,3,772,15.98,3.3550000000000004
2,3,772,13.78,3.5800000000000005
2,3,772,18.4,7.005
2,4,688,17.78,8.36
2,4,688,15.260000000000002,8.64
2,4,688,14.215,8.54
2,4,688,17.505,9.34
2,5,14,15.09,10.54
2,5,14,13.46,10.579999999999998
2,5,14,12.815000000000001,10.575
2,5,14,15.235000000000003,11.344999999999999
2,6,552,,
2,7,23,,
3,1,330,27.57,14.17
3,1,330,25.91,13.265
3,1,330,23.66,11.84
3,1,330,24.66,12.600000000000001
3,2,486,25.65,11.45
3,2,486,24.235,10.53
3,2,486,22.225,9.84
3,2,486,22.575,10.805
3,3,14,26.82,15.84
3,3,14,25.485,15.135
3,3,14,24.119999999999997,13.79
3,3,14,24.75,14.26
3,8,523,28.2,18.54
3,8,523,27.445,18.490000000000002
3,8,523,26.205,17.625
3,8,523,25.575,16.88
3,9,495,30.66,14.0
3,9,495,28.925,12.54
3,9,495,26.655,10.66
3,9,495,27.134999999999998,11.885
4,1,283,32.67,19.5
4,1,283,33.71,20.96
4,1,283,36.16,22.87
4,1,283,38.045,23.215
4,2,975,33.97,18.67
4,2,975,35.415,20.055
4,2,975,37.575,21.715
4,2,975,38.769999999999996,22.555
4,3,277,29.16,20.51
4,3,277,29.880000000000003,21.4
