Cve_Ent,Cve_Mun,Value,prec,temp
1,1,25,0.0,14.37
1,2,202,0.0,12.97
1,3,54,0.0,12.96
1,4,906,0.0,13.39
1,5,620,0.0,13.44
1,6,608,0.0,13.85
1,7,239,0.0,13.15
1,8,980,0.0,11.35
1,9,978,0.0,13.63
1,10,251,0.0,13.4
1,11,83,0.0,13.91
2,1,466,0.0,13.04
2,2,604,0.0,19.37
2,3,772,0.0,10.95
2,4,688,0.0,12.94
2,5,14,0.0,14.27
2,6,552,,
2,7,23,,
3,1,330,0.0,15.83
3,2,486,0.0,14.04
3,3,14,0.0,17.24
3,8,523,0.0,18.54
3,9,495,0.0,16.67
4,1,283,0.0,24.33
4,2,975,0.0,24.41
4,3,277,0.15,24.55
4,4,940,0.04,24.87
4,5,40,0.0,23.98
4,6,757,0.0,22.29
4,7,76,0.2,22.51
4,8,870,0.0,24.48
4,9,903,0.03,24.54
4,10,365,0.23,23.54
4,11,685,0.27,24.51
4,12,363,,
4,13,70,,
5,1,834,0.0,18.46
5,2,16,0.0,16.21
5,3,322,0.0,16.54
5,4,228,0.0,9.66
5,5,221,0.0,16.82
5,6,460,0.0,15.29
5,7,965,0.0,14.37
5,8,922,0.0,17.84
5,9,249,0.0,16.1
5,10,511,0.0,18.18
5,11,167,0.03,12.39
5,12,222,0.0,17.7
5,13,807,0.0,17.78
5,14,733,0.0,17.33
5,15,725,0.0,17.76
5,16,145,0.0,14.95
5,17,299,0.05,16.44
5,18,965,0.0,17.85
5,19,210,0.0,16.51
5,20,370,0.0,12.24
5,21,369,0.0,15.91
5,22,595,0.0,17.73
5,23,409,0.0,14.44
5,24,253,0.12,13.97
5,25,800,0.0,17.37
5,26,460,0.0,17.99
5,27,914,0.0,13.4
5,28,438,0.0,17.41
5,29,224,0.0,16.88
5,30,834,0.1,10.95
5,31,11,0.0,12.33
5,32,401,0.0,16.58
5,33,604,0.0,15.66
5,34,105,0.0,14.89
5,35,762,0.36,16.2
5,36,697,0.4,16.25
5,37,924,0.0,16.45
5,38,525,0.0,15.14
6,1,636,0.0,19.96
6,2,302,0.0,18.2
6,3,249,0.0,17.01
6,4,363,0.0,18.39
6,5,541,0.0,16.64
6,6,209,0.0,18.5
6,7,323,0.0,20.77
6,8,62,0.0,17.21
6,9,747,0.0,22.0
6,10,957,0.0,17.81
7,1,144,0.1,19.04
7,2,785,0.0,21.74
7,3,834,0.08,24.1
7,4,87,0.11,16.03
7,5,461,0.31,19.42
7,6,381,0.01,14.01
7,7,118,0.04,13.46
7,8,917,0.06,17.41
7,9,91,0.0,26.87
7,10,394,0.0,13.13
7,11,115,0.0,14.82
7,12,257,0.23,20.07
7,13,492,0.24,16.67
7,14,497,0.1,14.88
7,15,846,0.02,17.9
7,16,105,0.37,22.67
7,17,984,0.45,23.0
7,18,788,0.32,18.99
7,19,30,0.1,15.09
7,20,345,0.05,17.7
7,21,174,0.28,19.13
7,22,114,0.1,12.98
7,23,728,0.04,13.45
7,24,90,0.16,13.4
7,25,251,0.52,18.96
7,26,598,0.06,12.53
7,27,184,0.06,21.48
7,28,571,0.0,21.96
7,29,708,0.15,18.55
7,30,258,0.0,17.27
7,31,365,0.13,18.13
7,32,365,0.1,18.95
7,33,610,0.55,20.91
7,34,775,0.0,18.14
7,35,263,0.0,25.88
7,36,383,0.02,13.25
7,37,896,0.1,23.55
7,38,740,0.14,11.91
7,39,928,0.18,15.7
7,40,372,0.1,23.67
7,41,999,0.1,15.75
7,42,255,0.5,16.76
7,43,653,0.48,20.35
7,44,757,0.06,17.0
7,45,426,0.33,20.59
7,46,845,0.19,23.47
7,47,269,0.25,13.75
7,48,372,1.21,23.6
7,49,183,0.1,12.82
7,50,906,0.4,23.23
7,51,693,0.1,19.73
7,52,278,0.1,16.18
7,53,663,0.08,13.04
7,54,248,0.1,26.28
7,55,306,0.0,24.88
7,56,876,0.04,11.26
7,57,497,0.1,15.61
7,58,689,0.0,19.71
7,59,724,0.61,19.98
7,60,170,0.43,19.42
7,61,309,0.54,20.55
7,62,209,2.2,22.93
7,63,911,0.08,19.67
7,64,643,0.2,13.19
7,65,167,0.61,22.81
7,66,536,0.1,14.58
7,67,411,0.5,17.64
7,68,738,1.57,22.57
7,69,204,0.04,22.11
7,70,129,0.06,13.38
7,71,331,0.1,24.26
7,72,841,0.5,14.64
7,73,308,0.5,15.85
7,74,296,0.9,24.53
7,75,235,0.0,16.57
7,76,174,0.2,17.36
7,77,383,0.07,21.41
7,78,90,0.04,14.83
7,79,240,0.2,19.58
7,80,287,0.06,13.53
7,81,789,0.13,14.44
7,82,138,0.11,15.05
7,83,565,0.01,19.28
7,84,200,0.45,18.36
7,85,987,0.1,17.91
7,86,378,0.0,21.78
7,87,903,0.01,27.02
7,88,763,0.98,22.96
7,89,437,0.08,22.99
7,90,589,0.46,18.27
7,91,280,0.5,16.4
7,92,170,1.38,22.7
7,93,445,0.16,11.59
7,94,166,0.05,15.07
7,96,678,0.2,18.86
7,97,994,0.0,25.83
7,98,662,0.0,20.56
7,99,137,0.1,17.43
7,100,171,0.13,18.45
7,101,262,0.04,20.78
7,102,552,0.0,23.2
7,103,103,0.09,20.63
7,104,376,0.04,18.3
7,105,378,0.0,17.02
7,106,45,0.0,20.97
7,107,247,0.0,21.24
7,108,608,0.0,23.12
7,109,25,0.11,16.63
7,110,694,0.0,19.68
7,111,124,0.0,17.95
7,112,615,0.13,13.63
7,113,730,0.0,12.39
7,114,15,0.1,22.05
7,115,400,0.1,19.46
7,116,385,0.1,21.87
7,117,366,0.02,17.2
7,118,255,0.15,14.01
7,119,159,0.1,12.48
7,120,668,0.06,13.53
7,121,903,0.5,14.9
7,122,908,0.0,24.8
7,123,970,0.0,24.93
7,124,436,0.63,23.35
7,125,627,,
8,1,855,0.0,13.69
8,2,497,0.0,15.11
8,3,171,0.0,15.69
8,4,926,0.0,16.11
8,5,221,0.0,15.97
8,6,992,0.0,10.09
8,7,608,0.0,7.4
8,8,644,0.0,17.34
8,9,428,0.0,9.0
8,10,988,0.0,13.33
8,11,454,0.0,13.13
8,12,288,0.0,12.1
8,13,35,0.0,9.99
8,14,575,0.0,14.5
8,15,320,0.0,15.17
8,16,435,0.0,14.62
8,17,720,0.0,10.38
8,18,945,0.0,12.31
8,19,870,0.0,11.87
8,20,30,0.0,16.76
8,21,698,0.0,16.31
8,22,536,0.0,15.05
8,23,522,0.0,13.48
8,24,442,0.0,13.37
8,25,377,0.0,8.85
8,26,123,0.0,13.4
8,27,844,0.0,9.72
8,28,594,0.0,14.52
8,29,251,0.0,9.47
8,30,551,0.0,18.7
8,31,558,0.0,10.72
8,32,264,0.0,14.92
8,33,302,0.0,14.62
8,34,227,0.0,9.25
8,35,576,0.0,13.8
8,36,502,0.0,15.52
8,37,967,0.0,16.27
8,38,459,0.0,15.78
8,39,267,0.0,15.73
8,40,364,0.0,7.63
8,41,558,0.0,15.81
8,42,883,0.0,16.06
8,43,79,0.0,7.81
8,44,526,0.0,13.41
8,45,880,0.0,15.14
8,46,355,0.0,15.67
8,47,855,0.0,9.4
8,48,968,0.0,8.57
8,49,968,0.0,11.79
8,50,721,0.0,12.63
8,51,413,0.0,12.0
8,52,374,0.0,16.43
8,53,976,0.0,16.05
8,54,971,0.0,9.75
8,55,26,0.0,15.51
8,56,738,0.0,12.69
8,57,889,0.0,13.7
8,58,876,0.0,16.81
8,59,665,0.0,13.15
8,60,100,0.0,12.9
8,61,823,0.0,15.96
8,62,979,0.0,16.34
8,63,748,0.0,7.67
8,64,203,0.0,13.95
8,65,741,0.0,19.61
8,66,176,0.0,13.85
8,67,975,0.0,16.57
9,2,298,0.1,11.97
9,3,40,0.0,12.5
9,4,770,0.15,7.87
9,5,557,0.08,13.41
9,6,995,0.0,13.83
9,7,590,0.09,13.5
9,8,37,0.12,8.02
9,9,378,0.1,13.97
9,10,143,0.13,10.78
9,11,432,0.1,13.35
9,12,870,0.1,10.7
9,13,592,0.1,13.11
9,14,698,0.0,13.28
9,15,353,0.0,13.17
9,16,715,0.11,11.57
9,17,564,0.0,13.96
10,1,19,0.0,11.06
10,2,959,0.0,12.5
10,3,705,0.0,13.54
10,4,627,0.3,14.59
10,5,674,0.0,10.31
10,6,854,0.3,16.03
10,7,976,0.0,16.28
10,8,683,0.0,15.04
10,9,238,0.0,8.54
10,10,689,0.0,14.47
10,11,566,0.0,15.26
10,12,831,0.03,15.09
10,13,154,0.0,16.27
10,14,342,0.0,10.99
10,15,719,0.0,16.17
10,16,56,0.0,14.23
10,17,462,0.0,12.32
10,18,328,0.0,14.63
10,19,577,0.0,8.33
10,20,295,0.0,14.87
10,21,500,0.1,14.95
10,22,463,0.0,15.42
10,23,249,0.0,10.7
10,24,413,0.0,15.54
10,25,62,0.0,12.71
10,26,16,0.0,8.4
10,27,604,0.14,15.76
10,28,330,0.0,14.5
10,29,201,0.0,15.49
10,30,373,0.0,14.79
10,31,625,0.01,14.73
10,32,84,0.0,9.87
10,33,296,0.0,9.83
10,34,342,0.0,15.11
10,35,445,0.0,8.51
10,36,948,0.0,17.83
10,37,889,0.0,11.28
10,38,992,0.0,14.03
10,39,801,0.0,10.91
11,1,581,0.0,17.14
11,2,918,0.0,12.29
11,3,393,0.02,13.68
11,4,556,0.0,14.74
11,5,769,0.0,15.76
11,6,59,0.07,10.51
11,7,762,0.0,16.14
11,8,119,0.0,15.83
11,9,155,0.0,15.28
11,10,348,0.0,10.94
11,11,463,0.0,16.36
11,12,470,0.0,16.47
11,13,365,0.1,9.82
11,14,575,0.04,13.01
11,15,596,0.0,14.06
11,16,351,0.0,17.17
11,17,508,0.0,16.62
11,18,860,0.0,16.08
11,19,633,0.0,12.07
11,20,843,0.0,14.77
11,21,873,0.0,14.01
11,22,130,0.08,12.56
11,23,341,0.0,17.24
