Cve_Ent,Cve_Mun,Value,ides,idmun,prec,temp
1,1,25,1.0,1.0,0.0,14.37
1,2,202,1.0,2.0,0.0,12.97
1,3,54,1.0,3.0,0.0,12.96
1,4,906,1.0,4.0,0.0,13.39
1,5,620,1.0,5.0,0.0,13.44
1,6,608,1.0,6.0,0.0,13.85
1,7,239,1.0,7.0,0.0,13.15
1,8,980,1.0,8.0,0.0,11.35
1,9,978,1.0,9.0,0.0,13.63
1,10,251,1.0,10.0,0.0,13.4
1,11,83,1.0,11.0,0.0,13.91
2,1,466,2.0,1.0,0.0,13.04
2,2,604,2.0,2.0,0.0,19.37
2,3,772,2.0,3.0,0.0,10.95
2,4,688,2.0,4.0,0.0,12.94
2,5,14,2.0,5.0,0.0,14.27
2,6,552,,,,
2,7,23,,,,
3,1,330,3.0,1.0,0.0,15.83
3,2,486,3.0,2.0,0.0,14.04
3,3,14,3.0,3.0,0.0,17.24
3,8,523,3.0,8.0,0.0,18.54
3,9,495,3.0,9.0,0.0,16.67
4,1,283,4.0,1.0,0.0,24.33
4,2,975,4.0,2.0,0.0,24.41
4,3,277,4.0,3.0,0.15,24.55
4,4,940,4.0,4.0,0.04,24.87
4,5,40,4.0,5.0,0.0,23.98
4,6,757,4.0,6.0,0.0,22.29
4,7,76,4.0,7.0,0.2,22.51
4,8,870,4.0,8.0,0.0,24.48
4,9,903,4.0,9.0,0.03,24.54
4,10,365,4.0,10.0,0.23,23.54
4,11,685,4.0,11.0,0.27,24.51
4,12,363,,,,
4,13,70,,,,
5,1,834,5.0,1.0,0.0,18.46
5,2,16,5.0,2.0,0.0,16.21
5,3,322,5.0,3.0,0.0,16.54
5,4,228,5.0,4.0,0.0,9.66
5,5,221,5.0,5.0,0.0,16.82
5,6,460,5.0,6.0,0.0,15.29
5,7,965,5.0,7.0,0.0,14.37
5,8,922,5.0,8.0,0.0,17.84
5,9,249,5.0,9.0,0.0,16.1
5,10,511,5.0,10.0,0.0,18.18
5,11,167,5.0,11.0,0.03,12.39
5,12,222,5.0,12.0,0.0,17.7
5,13,807,5.0,13.0,0.0,17.78
5,14,733,5.0,14.0,0.0,17.33
5,15,725,5.0,15.0,0.0,17.76
5,16,145,5.0,16.0,0.0,14.95
5,17,299,5.0,17.0,0.05,16.44
5,18,965,5.0,18.0,0.0,17.85
5,19,210,5.0,19.0,0.0,16.51
5,20,370,5.0,20.0,0.0,12.24
5,21,369,5.0,21.0,0.0,15.91
5,22,595,5.0,22.0,0.0,17.73
5,23,409,5.0,23.0,0.0,14.44
5,24,253,5.0,24.0,0.12,13.97
5,25,800,5.0,25.0,0.0,17.37
5,26,460,5.0,26.0,0.0,17.99
5,27,914,5.0,27.0,0.0,13.4
5,28,438,5.0,28.0,0.0,17.41
5,29,224,5.0,29.0,0.0,16.88
5,30,834,5.0,30.0,0.1,10.95
5,31,11,5.0,31.0,0.0,12.33
5,32,401,5.0,32.0,0.0,16.58
5,33,604,5.0,33.0,0.0,15.66
5,34,105,5.0,34.0,0.0,14.89
5,35,762,5.0,35.0,0.36,16.2
5,36,697,5.0,36.0,0.4,16.25
5,37,924,5.0,37.0,0.0,16.45
5,38,525,5.0,38.0,0.0,15.14
6,1,636,6.0,1.0,0.0,19.96
6,2,302,6.0,2.0,0.0,18.2
6,3,249,6.0,3.0,0.0,17.01
6,4,363,6.0,4.0,0.0,18.39
6,5,541,6.0,5.0,0.0,16.64
6,6,209,6.0,6.0,0.0,18.5
6,7,323,6.0,7.0,0.0,20.77
6,8,62,6.0,8.0,0.0,17.21
6,9,747,6.0,9.0,0.0,22.0
6,10,957,6.0,10.0,0.0,17.81
7,1,144,7.0,1.0,0.1,19.04
