ides,idmun,time,tmax,tmin
1,1,2023-04-12 12:00:00,28.48,11.82
1,1,2023-04-13 12:00:00,29.125,11.45
1,1,2023-04-14 12:00:00,29.53,12.309999999999999
1,1,2023-04-15 12:00:00,29.225,13.565
1,2,2023-04-12 12:00:00,25.69,13.25
1,2,2023-04-13 12:00:00,26.915,12.84
1,2,2023-04-14 12:00:00,27.865000000000002,13.855
1,2,2023-04-15 12:00:00,27.240000000000002,14.425
1,3,2023-04-12 12:00:00,29.53,8.91
1,3,2023-04-13 12:00:00,29.9,8.795
1,3,2023-04-14 12:00:00,30.134999999999998,9.515
1,3,2023-04-15 12:00:00,30.0,10.725
1,4,2023-04-12 12:00:00,25.96,13.89
1,4,2023-04-13 12:00:00,26.625,14.05
1,4,2023-04-14 12:00:00,27.115000000000002,14.920000000000002
1,4,2023-04-15 12:00:00,26.555,14.595
1,5,2023-04-12 12:00:00,28.05,11.33
1,5,2023-04-13 12:00:00,28.689999999999998,11.09
1,5,2023-04-14 12:00:00,29.155,11.83
1,5,2023-04-15 12:00:00,28.715,12.8
1,6,2023-04-12 12:00:00,27.27,13.59
1,6,2023-04-13 12:00:00,28.060000000000002,13.29
1,6,2023-04-14 12:00:00,28.62,13.93
1,6,2023-04-15 12:00:00,28.09,14.315
1,7,2023-04-12 12:00:00,25.75,13.77
1,7,2023-04-13 12:00:00,26.445,13.54
1,7,2023-04-14 12:00:00,26.97,14.06
1,7,2023-04-15 12:00:00,26.495,14.010000000000002
1,8,2023-04-12 12:00:00,25.62,11.29
1,8,2023-04-13 12:00:00,25.775,11.01
1,8,2023-04-14 12:00:00,25.83,11.47
1,8,2023-04-15 12:00:00,25.57,11.81
1,9,2023-04-12 12:00:00,26.6,14.27
1,9,2023-04-13 12:00:00,27.44,14.024999999999999
1,9,2023-04-14 12:00:00,28.075000000000003,14.725
1,9,2023-04-15 12:00:00,27.445,14.825
1,10,2023-04-12 12:00:00,26.33,12.55
1,10,2023-04-13 12:00:00,27.415,12.120000000000001
1,10,2023-04-14 12:00:00,28.235,13.184999999999999
1,10,2023-04-15 12:00:00,27.795,13.995000000000001
1,11,2023-04-12 12:00:00,27.59,13.41
1,11,2023-04-13 12:00:00,28.41,13.02
1,11,2023-04-14 12:00:00,28.96,13.715
1,11,2023-04-15 12:00:00,28.415,14.295
2,1,2023-04-12 12:00:00,22.14,8.44
2,1,2023-04-13 12:00:00,19.77,7.55
2,1,2023-04-14 12:00:00,17.695,7.109999999999999
2,1,2023-04-15 12:00:00,19.674999999999997,9.055
2,2,2023-04-12 12:00:00,32.57,15.47
2,2,2023-04-13 12:00:00,29.064999999999998,13.025
