ides,idmun,time,tmax,tmin
1.0,1.0,2023-04-12 12:00:00,28.48,11.82
1.0,1.0,2023-04-13 12:00:00,29.125,11.45
1.0,1.0,2023-04-14 12:00:00,29.53,12.31
1.0,1.0,2023-04-15 12:00:00,29.225,13.565
1.0,2.0,2023-04-12 12:00:00,25.69,13.25
1.0,2.0,2023-04-13 12:00:00,26.915,12.84
1.0,2.0,2023-04-14 12:00:00,27.865,13.855
1.0,2.0,2023-04-15 12:00:00,27.24,14.425
1.0,3.0,2023-04-12 12:00:00,29.53,8.91
1.0,3.0,2023-04-13 12:00:00,29.9,8.795
1.0,3.0,2023-04-14 12:00:00,30.135,9.515
1.0,3.0,2023-04-15 12:00:00,30.0,10.725
1.0,4.0,2023-04-12 12:00:00,25.96,13.89
1.0,4.0,2023-04-13 12:00:00,26.625,14.05
1.0,4.0,2023-04-14 12:00:00,27.115,14.920000000000002
1.0,4.0,2023-04-15 12:00:00,26.555,14.595
1.0,5.0,2023-04-12 12:00:00,28.05,11.33
1.0,5.0,2023-04-13 12:00:00,28.69,11.09
1.0,5.0,2023-04-14 12:00:00,29.155,11.83
1.0,5.0,2023-04-15 12:00:00,28.715,12.8
1.0,6.0,2023-04-12 12:00:00,27.27,13.59
1.0,6.0,2023-04-13 12:00:00,28.06,13.29
1.0,6.0,2023-04-14 12:00:00,28.62,13.93
1.0,6.0,2023-04-15 12:00:00,28.09,14.315
1.0,7.0,2023-04-12 12:00:00,25.75,13.77
1.0,7.0,2023-04-13 12:00:00,26.445,13.54
1.0,7.0,2023-04-14 12:00:00,26.97,14.06
1.0,7.0,2023-04-15 12:00:00,26.495,14.010000000000002
1.0,8.0,2023-04-12 12:00:00,25.62,11.29
1.0,8.0,2023-04-13 12:00:00,25.775,11.01
1.0,8.0,2023-04-14 12:00:00,25.83,11.47
1.0,8.0,2023-04-15 12:00:00,25.57,11.81
1.0,9.0,2023-04-12 12:00:00,26.6,14.27
1.0,9.0,2023-04-13 12:00:00,27.44,14.025
1.0,9.0,2023-04-14 12:00:00,28.075000000000006,14.725
1.0,9.0,2023-04-15 12:00:00,27.445,14.825
1.0,10.0,2023-04-12 12:00:00,26.33,12.55
1.0,10.0,2023-04-13 12:00:00,27.415,12.12
1.0,10.0,2023-04-14 12:00:00,28.235,13.185
1.0,10.0,2023-04-15 12:00:00,27.795,13.995
1.0,11.0,2023-04-12 12:00:00,27.59,13.41
1.0,11.0,2023-04-13 12:00:00,28.41,13.02
1.0,11.0,2023-04-14 12:00:00,28.96,13.715
1.0,11.0,2023-04-15 12:00:00,28.415,14.295
2.0,1.0,2023-04-12 12:00:00,22.14,8.44
2.0,1.0,2023-04-13 12:00:00,19.77,7.55
2.0,1.0,2023-04-14 12:00:00,17.695,7.109999999999999
2.0,1.0,2023-04-15 12:00:00,19.675,9.055
2.0,2.0,2023-04-12 12:00:00,32.57,15.47
2.0,2.0,2023-04-13 12:00:00,29.065,13.025
2.0,2.0,2023-04-14 12:00:00,25.63,12.11
2.0,2.0,2023-04-15 12:00:00,27.525,15.055
2.0,3.0,2023-04-12 12:00:00,20.17,4.28
2.0,3.0,2023-04-13 12:00:00,15.98,3.3550000000000004
2.0,3.0,2023-04-14 12:00:00,13.78,3.5800000000000005
2.0,3.0,2023-04-15 12:00:00,18.4,7.005
2.0,4.0,2023-04-12 12:00:00,17.78,8.36
2.0,4.0,2023-04-13 12:00:00,15.260000000000002,8.64
2.0,4.0,2023-04-14 12:00:00,14.215,8.54
2.0,4.0,2023-04-15 12:00:00,17.505,9.34
2.0,5.0,2023-04-12 12:00:00,15.09,10.54
2.0,5.0,2023-04-13 12:00:00,13.46,10.579999999999998
2.0,5.0,2023-04-14 12:00:00,12.815,10.575
2.0,5.0,2023-04-15 12:00:00,15.235000000000005,11.345
3.0,1.0,2023-04-12 12:00:00,27.57,14.17
3.0,1.0,2023-04-13 12:00:00,25.91,13.265
3.0,1.0,2023-04-14 12:00:00,23.66,11.84
3.0,1.0,2023-04-15 12:00:00,24.66,12.6
3.0,2.0,2023-04-12 12:00:00,25.65,11.45
3.0,2.0,2023-04-13 12:00:00,24.235,10.53
3.0,2.0,2023-04-14 12:00:00,22.225,9.84
3.0,2.0,2023-04-15 12:00:00,22.575,10.805
3.0,3.0,2023-04-12 12:00:00,26.82,15.84
3.0,3.0,2023-04-13 12:00:00,25.485,15.135
3.0,3.0,2023-04-14 12:00:00,24.12,13.79
3.0,3.0,2023-04-15 12:00:00,24.75,14.26
3.0,8.0,2023-04-12 12:00:00,28.2,18.54
3.0,8.0,2023-04-13 12:00:00,27.445,18.49
3.0,8.0,2023-04-14 12:00:00,26.205,17.625
3.0,8.0,2023-04-15 12:00:00,25.575,16.88
3.0,9.0,2023-04-12 12:00:00,30.66,14.0
3.0,9.0,2023-04-13 12:00:00,28.925,12.54
3.0,9.0,2023-04-14 12:00:00,26.655,10.66
3.0,9.0,2023-04-15 12:00:00,27.135,11.885
4.0,1.0,2023-04-12 12:00:00,32.67,19.5
4.0,1.0,2023-04-13 12:00:00,33.71,20.96
4.0,1.0,2023-04-14 12:00:00,36.16,22.87
4.0,1.0,2023-04-15 12:00:00,38.045,23.215
4.0,2.0,2023-04-12 12:00:00,33.97,18.67
4.0,2.0,2023-04-13 12:00:00,35.415,20.055
4.0,2.0,2023-04-14 12:00:00,37.575,21.715
4.0,2.0,2023-04-15 12:00:00,38.77,22.555
4.0,3.0,2023-04-12 12:00:00,29.16,20.51
4.0,3.0,2023-04-13 12:00:00,29.88000000000001,21.4
4.0,3.0,2023-04-14 12:00:00,32.955000000000005,22.415
4.0,3.0,2023-04-15 12:00:00,35.36,22.925
4.0,4.0,2023-04-12 12:00:00,34.11,18.76
4.0,4.0,2023-04-13 12:00:00,35.39,20.04
4.0,4.0,2023-04-14 12:00:00,37.63,21.57
4.0,4.0,2023-04-15 12:00:00,38.95,22.455
4.0,5.0,2023-04-12 12:00:00,34.06,18.77
4.0,5.0,2023-04-13 12:00:00,35.41,20.205
4.0,5.0,2023-04-14 12:00:00,37.565,22.15
4.0,5.0,2023-04-15 12:00:00,38.88,22.695
4.0,6.0,2023-04-12 12:00:00,34.05,17.82
4.0,6.0,2023-04-13 12:00:00,35.06,18.835
4.0,6.0,2023-04-14 12:00:00,36.265,20.685
4.0,6.0,2023-04-15 12:00:00,36.975,21.88
4.0,7.0,2023-04-12 12:00:00,29.79,18.97
4.0,7.0,2023-04-13 12:00:00,30.55,19.525
4.0,7.0,2023-04-14 12:00:00,33.92999999999999,21.19
4.0,7.0,2023-04-15 12:00:00,36.365,22.515
4.0,8.0,2023-04-12 12:00:00,33.56,18.85
4.0,8.0,2023-04-13 12:00:00,34.92,20.285
4.0,8.0,2023-04-14 12:00:00,37.24500000000001,22.145
4.0,8.0,2023-04-15 12:00:00,38.665,22.725
4.0,9.0,2023-04-12 12:00:00,34.7,19.4
4.0,9.0,2023-04-13 12:00:00,36.325,20.635
4.0,9.0,2023-04-14 12:00:00,38.255,22.285
4.0,9.0,2023-04-15 12:00:00,38.685,23.15
4.0,10.0,2023-04-12 12:00:00,33.38,18.84
4.0,10.0,2023-04-13 12:00:00,33.90000000000001,19.68
4.0,10.0,2023-04-14 12:00:00,34.870000000000005,21.375
4.0,10.0,2023-04-15 12:00:00,35.66,22.44
4.0,11.0,2023-04-12 12:00:00,33.28,20.83
4.0,11.0,2023-04-13 12:00:00,35.145,21.865
4.0,11.0,2023-04-14 12:00:00,37.93,23.1
4.0,11.0,2023-04-15 12:00:00,38.84,23.84
5.0,1.0,2023-04-12 12:00:00,29.4,17.03
5.0,1.0,2023-04-13 12:00:00,30.77,18.28
5.0,1.0,2023-04-14 12:00:00,33.715,20.725
5.0,1.0,2023-04-15 12:00:00,34.895,20.01
5.0,2.0,2023-04-12 12:00:00,29.24,13.23
5.0,2.0,2023-04-13 12:00:00,30.59,14.405
5.0,2.0,2023-04-14 12:00:00,32.59,17.03
5.0,2.0,2023-04-15 12:00:00,32.095,16.65
5.0,3.0,2023-04-12 12:00:00,27.63,15.69
5.0,3.0,2023-04-13 12:00:00,28.64,16.925
5.0,3.0,2023-04-14 12:00:00,31.615,18.975
5.0,3.0,2023-04-15 12:00:00,33.57000000000001,18.24
5.0,4.0,2023-04-12 12:00:00,21.19,11.81
5.0,4.0,2023-04-13 12:00:00,22.47,12.97
5.0,4.0,2023-04-14 12:00:00,23.645,14.38
5.0,4.0,2023-04-15 12:00:00,23.035,13.565
5.0,5.0,2023-04-12 12:00:00,26.78,15.11
5.0,5.0,2023-04-13 12:00:00,27.9,16.53
5.0,5.0,2023-04-14 12:00:00,30.61,20.185
5.0,5.0,2023-04-15 12:00:00,31.950000000000006,20.065
5.0,6.0,2023-04-12 12:00:00,27.08,13.93
