cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
77.32,Cielo nublado,6,Sureste,140.41,20230412T12,20,54,17.3884,-97.229,0,Oaxaca,Magdalena Zahuatlán,3.26,95.0,17.51,27.41,13.29,6.48
55.58,Cielo nublado,6,Suroeste,212.47,20230413T12,20,54,17.3884,-97.229,1,Oaxaca,Magdalena Zahuatlán,2.71,95.0,22.74,27.82,12.42,7.6
32.18,Medio nublado,6,Suroeste,203.17,20230414T12,20,54,17.3884,-97.229,2,Oaxaca,Magdalena Zahuatlán,0.95,20.0,18.86,30.66,14.56,6.57
51.29,Cielo nublado,6,Sureste,142.87,20230415T12,20,54,17.3884,-97.229,3,Oaxaca,Magdalena Zahuatlán,0.52,20.0,19.7,30.87,14.62,6.24
61.69,Cielo nublado,6,Sur,182.4,20230412T12,20,61,16.3672,-96.6368,0,Oaxaca,Monjas,12.46,95.0,14.8,26.64,14.24,5.21
44.37,Medio nublado,6,Sur,197.36,20230413T12,20,61,16.3672,-96.6368,1,Oaxaca,Monjas,4.81,95.0,20.4,27.66,14.93,6.79
26.26,Medio nublado,6,Suroeste,209.24,20230414T12,20,61,16.3672,-96.6368,2,Oaxaca,Monjas,1.18,95.0,17.7,28.49,16.1,6.13
35.52,Medio nublado,6,Sureste,151.28,20230415T12,20,61,16.3672,-96.6368,3,Oaxaca,Monjas,0.63,80.0,19.12,29.84,16.74,6.6
71.11,Cielo nublado,6,Este,97.22,20230412T12,20,62,17.2969,-96.4333,0,Oaxaca,Natividad,8.21,95.0,12.87,21.5,12.09,5.65
68.17,Cielo nublado,6,Sur,187.26,20230413T12,20,62,17.2969,-96.4333,1,Oaxaca,Natividad,9.66,95.0,9.61,23.66,13.27,5.48
46.39,Medio nublado,6,Sur,186.65,20230414T12,20,62,17.2969,-96.4333,2,Oaxaca,Natividad,6.57,95.0,12.57,26.45,14.11,5.47
62.4,Cielo nublado,6,Sur,169.22,20230415T12,20,62,17.2969,-96.4333,3,Oaxaca,Natividad,21.79,95.0,16.08,26.66,13.16,4.96
64.26,Cielo nublado,6,Sur,180.7,20230412T12,20,63,17.178,-96.824,0,Oaxaca,Nazareno Etla,4.21,95.0,17.49,27.38,13.02,5.31
60.25,Cielo nublado,6,Sur,186.33,20230413T12,20,63,17.178,-96.824,1,Oaxaca,Nazareno Etla,5.6,95.0,21.39,26.62,13.9,6.22
41.87,Medio nublado,6,Sur,168.22,20230414T12,20,63,17.178,-96.824,2,Oaxaca,Nazareno Etla,2.68,95.0,18.51,29.81,15.57,5.82
54.2,Cielo nublado,6,Sureste,140.67,20230415T12,20,63,17.178,-96.824,3,Oaxaca,Nazareno Etla,2.25,95.0,18.03,29.07,14.93,6.43
64.26,Cielo nublado,6,Sur,180.7,20230412T12,20,77,17.2056,-96.8101,0,Oaxaca,Reyes Etla,4.21,95.0,17.49,27.38,13.02,5.31
60.25,Cielo nublado,6,Sur,186.33,20230413T12,20,77,17.2056,-96.8101,1,Oaxaca,Reyes Etla,5.6,95.0,21.39,26.62,13.9,6.22
41.87,Medio nublado,6,Sur,168.22,20230414T12,20,77,17.2056,-96.8101,2,Oaxaca,Reyes Etla,2.68,95.0,18.51,29.81,15.57,5.82
54.2,Cielo nublado,6,Sureste,140.67,20230415T12,20,77,17.2056,-96.8101,3,Oaxaca,Reyes Etla,2.25,95.0,18.03,29.07,14.93,6.43
70.47,Cielo nublado,6,Sur,172.26,20230412T12,20,87,17.0812,-96.6681,0,Oaxaca,San Agustín Yatareni,6.24,95.0,16.94,26.18,13.48,6.14
58.98,Cielo nublado,6,Suroeste,209.08,20230413T12,20,87,17.0812,-96.6681,1,Oaxaca,San Agustín Yatareni,6.57,95.0,18.12,25.84,14.67,6.96
38.55,Medio nublado,6,Sur,190.82,20230414T12,20,87,17.0812,-96.6681,2,Oaxaca,San Agustín Yatareni,1.87,95.0,17.72,28.1,16.11,6.4
53.25,Cielo nublado,6,Sureste,157.23,20230415T12,20,87,17.0812,-96.6681,3,Oaxaca,San Agustín Yatareni,4.4,95.0,17.29,27.65,15.44,6.8
70.47,Cielo nublado,6,Sur,172.26,20230412T12,20,91,17.1025,-96.6662,0,Oaxaca,San Andrés Huayápam,6.24,95.0,16.94,26.18,13.48,6.14
58.98,Cielo nublado,6,Suroeste,209.08,20230413T12,20,91,17.1025,-96.6662,1,Oaxaca,San Andrés Huayápam,6.57,95.0,18.12,25.84,14.67,6.96
38.55,Medio nublado,6,Sur,190.82,20230414T12,20,91,17.1025,-96.6662,2,Oaxaca,San Andrés Huayápam,1.87,95.0,17.72,28.1,16.11,6.4
53.25,Cielo nublado,6,Sureste,157.23,20230415T12,20,91,17.1025,-96.6662,3,Oaxaca,San Andrés Huayápam,4.4,95.0,17.29,27.65,15.44,6.8
32.76,Medio nublado,6,Suroeste,209.66,20230412T12,20,99,17.6658,-98.3917,0,Oaxaca,San Andrés Tepetlapa,2.04,40.0,20.89,34.69,18.73,7.46
46.58,Medio nublado,6,Sur,200.77,20230413T12,20,99,17.6658,-98.3917,1,Oaxaca,San Andrés Tepetlapa,0.07,20.0,22.23,34.93,18.63,8.04
1.49,Despejado,6,Suroeste,213.77,20230414T12,20,99,17.6658,-98.3917,2,Oaxaca,San Andrés Tepetlapa,0.0,0.0,19.88,36.25,19.57,7.56
20.16,Poco nuboso,6,Suroeste,214.8,20230415T12,20,99,17.6658,-98.3917,3,Oaxaca,San Andrés Tepetlapa,0.0,0.0,21.36,37.48,20.88,7.52
62.77,Cielo nublado,6,Sureste,126.75,20230412T12,20,103,16.8032,-96.6846,0,Oaxaca,San Antonino Castillo Velasco,10.52,95.0,14.89,28.58,15.49,5.31
54.94,Cielo nublado,6,Suroeste,208.68,20230413T12,20,103,16.8032,-96.6846,1,Oaxaca,San Antonino Castillo Velasco,5.39,95.0,18.23,28.51,16.44,6.62
21.49,Poco nuboso,6,Sur,200.29,20230414T12,20,103,16.8032,-96.6846,2,Oaxaca,San Antonino Castillo Velasco,3.43,95.0,19.0,31.45,18.01,5.74
37.13,Medio nublado,6,Suroeste,207.08,20230415T12,20,103,16.8032,-96.6846,3,Oaxaca,San Antonino Castillo Velasco,1.72,95.0,19.48,31.48,17.7,6.61
71.39,Cielo nublado,6,Sur,196.13,20230412T12,20,107,17.0313,-96.6993,0,Oaxaca,San Antonio de la Cal,6.3,95.0,20.38,27.52,14.04,6.25
56.61,Cielo nublado,6,Suroeste,217.73,20230413T12,20,107,17.0313,-96.6993,1,Oaxaca,San Antonio de la Cal,6.31,95.0,21.75,26.95,15.22,7.3
37.12,Medio nublado,6,Sur,194.56,20230414T12,20,107,17.0313,-96.6993,2,Oaxaca,San Antonio de la Cal,2.62,95.0,19.55,29.51,16.79,6.48
50.66,Cielo nublado,6,Sur,170.13,20230415T12,20,107,17.0313,-96.6993,3,Oaxaca,San Antonio de la Cal,2.77,95.0,17.3,29.37,16.15,6.91
60.16,Cielo nublado,6,Suroeste,212.75,20230412T12,20,127,17.2845,-97.5699,0,Oaxaca,San Cristóbal Amoltepec,3.04,95.0,15.92,27.02,12.0,6.72
63.74,Cielo nublado,6,Sur,202.22,20230413T12,20,127,17.2845,-97.5699,1,Oaxaca,San Cristóbal Amoltepec,0.77,95.0,17.54,27.57,12.33,5.89
28.14,Medio nublado,6,Sur,191.31,20230414T12,20,127,17.2845,-97.5699,2,Oaxaca,San Cristóbal Amoltepec,0.05,0.0,18.55,29.97,14.06,5.85
54.28,Cielo nublado,6,Sur,164.44,20230415T12,20,127,17.2845,-97.5699,3,Oaxaca,San Cristóbal Amoltepec,0.12,0.0,19.12,30.63,14.49,5.78
