cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
51.29,Cielo nublado,6,Sureste,142.87,20230415T12,20,54,17.3884,-97.2290,3,Oaxaca,Magdalena Zahuatlán, 0.52,20.00,19.70,30.87,14.62, 6.24
35.52,Medio nublado,6,Sureste,151.28,20230415T12,20,61,16.3672,-96.6368,3,Oaxaca,Monjas, 0.63,80.00,19.12,29.84,16.74, 6.60
62.40,Cielo nublado,6,Sur,169.22,20230415T12,20,62,17.2969,-96.4333,3,Oaxaca,Natividad,21.79,95.00,16.08,26.66,13.16, 4.96
54.20,Cielo nublado,6,Sureste,140.67,20230415T12,20,63,17.1780,-96.8240,3,Oaxaca,Nazareno Etla, 2.25,95.00,18.03,29.07,14.93, 6.43
54.20,Cielo nublado,6,Sureste,140.67,20230415T12,20,77,17.2056,-96.8101,3,Oaxaca,Reyes Etla, 2.25,95.00,18.03,29.07,14.93, 6.43
53.25,Cielo nublado,6,Sureste,157.23,20230415T12,20,87,17.0812,-96.6681,3,Oaxaca,San Agustín Yatareni, 4.40,95.00,17.29,27.65,15.44, 6.80
53.25,Cielo nublado,6,Sureste,157.23,20230415T12,20,91,17.1025,-96.6662,3,Oaxaca,San Andrés Huayápam, 4.40,95.00,17.29,27.65,15.44, 6.80
20.16,Poco nuboso,6,Suroeste,214.80,20230415T12,20,99,17.6658,-98.3917,3,Oaxaca,San Andrés Tepetlapa, 0.00, 0.00,21.36,37.48,20.88, 7.52
37.13,Medio nublado,6,Suroeste,207.08,20230415T12,20,103,16.8032,-96.6846,3,Oaxaca,San Antonino Castillo Velasco, 1.72,95.00,19.48,31.48,17.70, 6.61
50.66,Cielo nublado,6,Sur,170.13,20230415T12,20,107,17.0313,-96.6993,3,Oaxaca,San Antonio de la Cal, 2.77,95.00,17.30,29.37,16.15, 6.91
54.28,Cielo nublado,6,Sur,164.44,20230415T12,20,127,17.2845,-97.5699,3,Oaxaca,San Cristóbal Amoltepec, 0.12, 0.00,19.12,30.63,14.49, 5.78
44.74,Medio nublado,6,Sur,178.04,20230415T12,20,128,17.3360,-96.1650,3,Oaxaca,San Cristóbal Lachirioag,23.27,95.00,22.31,29.51,15.24, 7.55
48.04,Medio nublado,6,Sur,162.70,20230415T12,20,145,17.0114,-96.5985,3,Oaxaca,San Francisco Lachigoló, 2.70,95.00,19.35,28.57,16.21, 7.39
