desciel,dh,dirvienc,dirvieng,dpt,dsem,hloc,hr,ides,idmun,lat,lon,nes,nhor,nmun,prec,probprec,raf,temp,velvien
Cielo cubierto,6,Noreste,62.45,15.06,Lunes,20230417T02,84.21,20,54,17.3884,-97.2290,Oaxaca,114,Magdalena Zahuatlán, 0.84,80.00,10.33,16.23, 8.15
Medio nublado,6,Noreste,48.66,16.75,Lunes,20230417T02,81.57,20,61,16.3672,-96.6368,Oaxaca,114,Monjas, 0.14,20.00, 6.06,18.15, 5.94
Cielo cubierto,6,Sureste,134.16,12.74,Lunes,20230417T02,97.34,20,62,17.2969,-96.4333,Oaxaca,114,Natividad, 0.42, 0.00,10.28,12.92, 7.36
Medio nublado,6,Sureste,138.04,14.05,Lunes,20230417T02,89.32,20,63,17.1780,-96.8240,Oaxaca,114,Nazareno Etla, 0.36,20.00,10.08,14.81, 8.16
Medio nublado,6,Sureste,138.04,14.05,Lunes,20230417T02,89.32,20,77,17.2056,-96.8101,Oaxaca,114,Reyes Etla, 0.36,20.00,10.08,14.81, 8.16
Medio nublado,6,Sureste,143.11,14.25,Lunes,20230417T02,87.64,20,87,17.0812,-96.6681,Oaxaca,114,San Agustín Yatareni, 0.13,20.00, 9.89,15.14, 8.69
Medio nublado,6,Sureste,143.11,14.25,Lunes,20230417T02,87.64,20,91,17.1025,-96.6662,Oaxaca,114,San Andrés Huayápam, 0.13,20.00, 9.89,15.14, 8.69
Medio nublado,6,Sur,164.50,19.40,Lunes,20230417T02,53.51,20,99,17.6658,-98.3917,Oaxaca,114,San Andrés Tepetlapa, 0.00, 0.00, 8.95,23.85, 7.15
Medio nublado,6,Suroeste,236.93,16.75,Lunes,20230417T02,77.41,20,103,16.8032,-96.6846,Oaxaca,114,San Antonino Castillo Velasco, 0.35, 0.00, 5.54,18.52, 5.29
Poco nuboso,6,Suroeste,231.95,14.83,Lunes,20230417T02,84.21,20,107,17.0313,-96.6993,Oaxaca,114,San Antonio de la Cal, 0.12,80.00, 9.09,15.99, 8.30
Despejado,6,Sureste,113.72,14.22,Lunes,20230417T02,78.73,20,127,17.2845,-97.5699,Oaxaca,114,San Cristóbal Amoltepec, 0.16, 0.00, 3.18,15.84, 3.03
Cielo cubierto,6,Noroeste,316.47,15.65,Lunes,20230417T02,98.30,20,128,17.3360,-96.1650,Oaxaca,114,San Cristóbal Lachirioag, 0.44, 0.00,10.61,15.77, 5.73
